word	syllble	morphology
deniz	2	1
yıldızları	4	3
bir	1	1
gibi	2	1
vardır	2	2
beş	1	1
da	1	1
kollu	2	2
vücutlarının	5	4
bu	1	1
de	1	1
hareket	3	1
ile	2	1
kendilerini	5	3
on	1	1
sayesinde	4	3
ya	1	1
yerler	2	2
yıldızı	3	2
akla	2	2
alt	1	1
altında	3	3
ama	2	1
analarına	5	4
ancak	2	1
anlarda	3	3
arasında	4	3
avlarına	4	4
ayaklarının	5	4
ayrılan	3	2
ayırırlar	4	3
açarlar	3	3
ağızları	4	3
bazen	2	1
bazıları	4	3
benzerler	3	2
beyinleri	4	3
bulunan	3	3
bunun	2	2
bölünerek	4	3
böylece	3	1
canlılardır	4	3
canlıları	4	3
canlıların	4	3
canlılarını	5	4
denince	3	3
denizlerde	4	3
derinliklerde	5	4
dönüşürler	4	3
düşmanlardan	4	3
edebilen	4	3
ederler	3	3
eski	2	1
etoburlardır	5	3
fakat	2	1
farklı	2	1
gelir	2	2
genellikle	4	1
gri	2	1
hallerine	4	4
hatta	2	1
hayvan	2	1
hemen	2	1
hızlı	2	1
istiridye	4	1
için	2	1
içindeki	4	4
içlerini	4	4
kabuklu	3	1
kalpleri	3	3
kendi	2	1
kendini	3	2
kokulu	3	1
kolları	3	3
kolludur	3	2
koruma	3	2
kötü	2	1
kırk	1	1
kısa	2	1
kısmını	3	3
kısımları	4	3
mavi	2	1
metrelerce	4	3
midye	2	1
olabilir	4	3
olduğu	3	3
oluşturabilirler	7	5
ot	1	1
otuz	2	1
parçanın	3	2
pembe	2	1
rengi	2	2
renklerde	3	3
sahiplerdir	4	3
salgılayarak	5	2
savunmak	3	2
sert	1	1
soğuk	2	1
sümüksü	3	1
sürede	3	2
sıcak	2	1
sıra	2	1
sıvı	2	1
tarafındadır	5	4
tehlikeli	4	1
tembel	2	1
tropikal	4	1
turuncu	3	1
tutarlar	3	3
türleri	3	3
tıpkı	2	1
ulaşırlar	4	3
vantuzlar	3	2
ve	1	1
yanı	2	1
yavaş	2	1
yaşar	2	2
yaşayabilen	5	3
yaşayabilirler	6	4
yedi	2	1
yemezler	3	3
yengeç	2	1
yenileme	4	2
yenisini	4	3
yerine	3	3
yoktur	2	2
yumuşak	3	1
yönleri	3	3
yıl	1	1
yıldızları	4	3
yıldızlarının	5	4
çoğalırlar	4	3
çünkü	2	1
özelliği	4	2
özelliğine	5	3
