word	syllble	morphology
ve	1	1
annesi	3	2
annesinin	4	3
başladı	3	2
bir	1	1
de	1	1
etti	2	2
evde	2	2
eve	2	2
ile	2	1
kardeşinin	4	3
not	1	1
zaman	2	1
çok	1	1
üzerinde	4	2
acaba	3	1
adımlarını	5	4
ah	1	1
akıl	2	1
almadan	3	2
annesini	4	3
arkadaşı	4	2
arkadaşının	5	3
aylardır	3	3
aynı	2	1
açıldı	3	3
babaannesi	4	2
baktı	2	2
başka	2	1
beklemekten	4	5
bekleyememişti	6	
belki	2	1
beşiği	3	2
bilmezken	3	3
birden	2	1
boştu	2	2
bu	1	1
bugün	2	1
bulamadı	4	3
bunu	2	2
bunun	2	2
buzdolabına	5	3
buzdolabının	5	3
da	1	1
daha	2	1
dolmaya	3	2
düşünceler	4	2
düşündü	3	2
ev	1	1
evin	2	2
evine	3	3
evleri	3	3
evlerinin	4	4
farklı	2	1
geldiğinde	4	4
gelmediğini	5	5
getirmişti	4	3
geçmek	2	2
gibi	2	1
giderek	3	2
gidiyordu	4	3
gitmezdi	3	3
gitmişti	3	3
gururla	3	2
gördü	2	2
görmediği	4	4
görmemişti	4	4
götürüyordu	5	3
gözleri	3	3
gülümseyen	4	2
haber	2	1
haline	3	3
hastalanmış	4	2
hatta	2	1
hayal	2	1
hazırlanmasını	6	4
her	1	1
herhangi	3	1
heyecandan	4	2
heyecanlanarak	6	2
hiç	1	1
hiçbir	2	1
hızla	2	1
hızlandırdı	4	3
ilgili	3	1
ise	2	1
kadar	2	1
kalbi	2	2
kalmamıştı	4	4
kapı	2	1
kapısında	4	3
kapısını	4	3
kardeşi	3	2
kardeşini	4	3
kaygıyla	3	2
kazandığı	4	3
kendisine	4	3
kerem	2	1
kerem’e	3	2
ki	1	1
kimsecikler	4	3
komşuların	4	3
komşularına	5	4
komşularının	5	4
koyulmuştu	4	4
koştu	2	2
kısa	2	1
meraklandı	4	2
miydi	2	2
mutluluk	3	1
mutluluktan	4	2
odasına	4	3
okuldan	3	2
okulları	4	3
olabileceğini	7	5
olabilir	4	3
olduğundan	4	4
ona	2	2
onlara	3	3
onu	2	2
oyun	2	1
sabırsızlıkla	5	2
sanki	2	1
sarılışını	5	4
semtte	2	2
sessizdi	3	2
seviyordu	4	3
sordu	2	2
süreliğine	5	4
sürpriz	2	1
sımsıkı	3	1
tepkiyi	3	2
terliklerini	5	4
umutla	3	2
uzun	2	1
vakit	2	1
vereceği	4	3
vermemişti	4	4
yapmışlardı	4	4
yarışmasında	5	4
yavaşlamıştı	5	4
yere	2	2
yine	2	1
yoktu	2	2
yol	1	1
yola	2	2
yolunda	3	3
yolunun	3	3
yürüyerek	4	2
yüzlerini	4	4
zamankinden	4	3
çalarak	3	2
çaresi	3	2
çarpıyordu	4	3
çeşitli	3	1
çoğu	2	2
çığlığını	4	3
ödülü	3	2
önce	2	1
üretmeye	4	3
şaşkınlık	3	1
şiir	1	1
şimdi	2	1
