line	text	TextType	WordCountinSent	SentCount
1	Deniz yıldız sıcak, soğuk ya da tropikal deniz yaşa canlı.	inf_T1	10	23
2	Deniz yıldız metre derinlik yaşa.	inf_T1	5	23
3	Deniz yıldız de genellikle beş kol deniz yıldız akıl gel.	inf_T1	10	23
4	Ancak yedi kol ol gibi on beş kol deniz yıldız da var.	inf_T1	12	23
5	Hatta bazı kırk kol.	inf_T1	4	23
6	Deniz yıldız renk pembe, turuncu, mavi ya da gri gibi farklı renk ol.	inf_T1	13	23
7	Deniz yıldız tehlikeli an sümüksü kötü koku bir sıvı salgıla kendi düşman koru özellik sahip.	inf_T1	15	23
8	Bu yan sıra, bazen de kendi savun için vücut bir kısım ayır.	inf_T1	12	23
9	Ayrıl parça yer yeni hemen oluş.	inf_T1	6	23
10	Çünkü vücut kendi kendi yenile özellik var.	inf_T1	7	23
11	Böylece kısa süre eski hal dönüş.	inf_T1	6	23
12	Tıpkı bir tembel hayvan gibi yavaş hareket et.	inf_T1	8	23
13	Fakat hızlı hareket et tür de var.	inf_T1	7	23
14	Deniz yıldız ot ye.	inf_T1	4	23
15	Etobur.	inf_T1	1	23
16	Yengeç, midye ve istiridye gibi deniz canlı ye.	inf_T1	8	23
17	Kol saye av ulaş.	inf_T1	4	23
18	Ayak alt bulun vantuz saye sert kabuk canlı tut, iç aç, bu canlı iç yumuşak kısım ye.	inf_T1	17	23
19	Ağız vücut alt taraf.	inf_T1	4	23
20	Beyin yok ama kalp var.	inf_T1	5	23
21	Bu yön ile deniz ana benze.	inf_T1	6	23
22	Bir deniz yıldız on ile otuz beş yıl ara yaşa.	inf_T1	10	23
23	Deniz yıldız böl çoğal.	inf_T1	4	23
1	Deniz yıldız sıcak, soğuk ve derin deniz yaşa canlı.	inf_T2	9	18
2	Deniz yıldız de genellikle beş kol ol akıl gel.	inf_T2	9	18
3	Ancak yedi, on beş ya da otuz kol ol da var.	inf_T2	11	18
4	Hatta bazı tür kırk kol.	inf_T2	5	18
5	Deniz yıldız pembe, turuncu, mavi ve kahverengi gibi farklı farklı renk ol.	inf_T2	12	18
6	Beyin yok ama kalp var.	inf_T2	5	18
7	On ile otuz beş yıl ara yaşa.	inf_T2	7	18
8	Böl çoğal.	inf_T2	2	18
9	Deniz yıldız genellikle yavaş hareket et canlı.	inf_T2	7	18
10	Fakat çok hızlı hareket eet tür de var.	inf_T2	8	18
11	Tehlikeli an sümüksü, kötü koku, yapışkan bir sıvı salgıla.	inf_T2	9	18
12	Bu sıvı ile kendi düşman koru.	inf_T2	6	18
13	Bu yan sıra, bazen de kendi düşman karşı savun için vücut bir kısım ayır.	inf_T2	14	18
14	Ayır bu parça yer yeni parça kolaylık oluştur çünkü vücut kendi kendi hızla yenile özellik var.	inf_T2	16	18
15	Deniz yıldız ağız vücut alt taraf.	inf_T2	6	18
16	Ot ye.	inf_T2	2	18
17	Yengeç ve midye gibi kabuklu deniz canlı beslen.	inf_T2	8	18
18	Ayak yapışkan yapı bu sert kabuklu canlı tut, iç aç ve yumuşak kısım ye.	inf_T2	14	18
1	Deniz yıldız hem sıcak hem soğuk hem de tropikal deniz yaşa canlı.	inf_T3	12	22
2	Bu canlı birkaç kilometre derinlik kadar ol bölge yaşa.	inf_T3	9	22
3	Diğer yan yedi kol ve on beş kol ol da bulun.	inf_T3	11	22
4	Kırk kol ol tür bile var.	inf_T3	6	22
5	Deniz yıldız, pembe turuncu, mavi gri çeşitli renk karşı çık.	inf_T3	10	22
6	Tehlike algıla yapışkan ve kötü koku salgı ile kendi düşman karşı savun.	inf_T3	12	22
7	Kimi zaman ise kendi koru amaç vücut bazı bölüm kopar.	inf_T3	10	22
8	Rejenerasyon yetenek saye bu bölüm onar, kop parça yer yeni uzuv geliş, kısa zaman önce form kavuş.	inf_T3	17	22
9	Adeta ağır hareket et aylak hayvan gibi.	inf_T3	7	22
10	Ancak bazı da çabuk hareket et.	inf_T3	6	22
11	Deniz yıldız otobur herbivor canlı değil.	inf_T3	6	22
12	Karnivor.	inf_T3	1	22
13	Yengeç, midye, istiridye gibi deniz hayvan ye yaşa.	inf_T3	8	22
14	Kol aracılık avla.	inf_T3	3	22
15	Ayak alt taraf çek ile sert kabuklular yakala ve sonra iç aç.	inf_T3	12	22
16	Bu yumuşak vücut parça besle.	inf_T3	5	22
17	Ayrıca, ağız aşağı bölge.	inf_T3	4	22
18	Beyin ol sinir sistem var.	inf_T3	5	22
19	Öte yan kalp var.	inf_T3	4	22
20	Bu açı deniz ana gibi.	inf_T3	5	22
21	Ayrıca, deniz yıldız onlarca yıl canlı kal bir omurgasızlar tür.	inf_T3	10	22
22	Deniz yıldız, mitoz hücre böl ile çoğal ve yavru oluş deniz canlı.	inf_T3	12	22
1	Kerem şiir yarışma kazan ödül gurur ev götür yol kendi daha önce hiç bu kadar uzun gel düşün.	nar_T1	18	26
2	Anne ver tepki, mutluluk çığlık ve ona sımsıkı sarıl hayal et çalış.	nar_T1	12	26
3	Daha da heyecanlan adım hızlan.	nar_T1	5	26
4	Ev ile okul aynı mahalle ol için çok arkadaş gibi ev yürü git.	nar_T1	13	26
5	Bugün yol arkadaş hazırla bekle, sabırsızlık yol koy.	nar_T1	8	26
6	Ev gel ev her zaman farklı ol çok sessiz.	nar_T1	9	26
7	Ev kimse yok.	nar_T1	3	26
8	Kardeş kontrol et.	nar_T1	3	26
9	Beşik boş.	nar_T1	2	26
10	Anne kendi okul al bir yer git bil.	nar_T1	8	26
11	Çok meraklan.	nar_T1	2	26
12	Buzdolap üzeri not ol akıl et, belki de kısa süre bir komşu git.	nar_T1	13	26
13	Umut buzdolap koş ama herhangi bir not bul.	nar_T1	8	26
14	Komşu kapı anne terlik gör ama yine de kapı çal sor.	nar_T1	11	26
15	Anne on da haber ver.	nar_T1	5	26
16	Acaba kardeş hastalan ol?	nar_T1	4	26
17	Göz dol.	nar_T1	2	26
18	Kardeş çok sev.	nar_T1	3	26
19	Göz kardeş daha önce ateşli havale geçir sahne gel.	nar_T1	9	26
20	Ev tedirgin bir şekil bekle başka çare kal.	nar_T1	8	26
21	Ah, biraz önce heyecan vakit geç bil şimdi kaygı dolayı zaman yavaşla sanki.	nar_T1	13	26
22	Bu üzeri zaman algı ilgili çeşitli düşünce üre başla.	nar_T1	9	26
23	Hatta bu bir oyun hal getir ki, kapı ani açıl.	nar_T1	10	26
24	Karşı ay gör babaanne, arka anne ve kardeş gülümse yüz gör.	nar_T1	11	26
25	Şimdi şaşkınlık ve mutluluk hızla çarp kalp.	nar_T1	7	26
26	O sürpriz yap.	nar_T1	3	26
1	Bir cuma gün okul çıkış, Kerem şiir yarışma kazan ödül ev götür.	nar_T2	12	18
2	Anne ve kardeş sürpriz yap.	nar_T2	5	18
3	O ver tepki ve mutluluk hayal et.	nar_T2	7	18
4	Heyecanlan adım daha da hızlan.	nar_T2	5	18
5	Ev ve okul aynı semt ol çok arkadaş gibi Kerem de ev yürü git.	nar_T2	14	18
