word	n	LineNum	WordCount	SentCount	WordLength	TextType	TextTypeN	Text	Part.of.Speech	Freq.Norm	OLD20	Bigram.Mean
aç	1	18	170	23	2	inf_T1	inf	T1	verb	1561.744	1	5413.08
aç	1	13	145	18	2	nar_T2	nar	T2	verb	1561.744	1	5413.08
aç	1	15	170	22	2	inf_T3	inf	T3	verb	1561.744	1	5413.08
aç	1	18	145	18	2	inf_T2	inf	T2	verb	1561.744	1	5413.08
acaba	1	21	179	30	5	nar_T3	nar	T3	adv	170.737	1.9	1209.95275
acaba	1	16	194	26	5	nar_T1	nar	T1	adv	170.737	1.9	1209.95275
açı	1	20	170	22	3	inf_T3	inf	T3	noun	600.612	1	4521.37
açıl	1	23	194	26	4	nar_T1	nar	T1	verb	2.337	1.4	3251.04033333333
açıl	1	27	179	30	4	nar_T3	nar	T3	verb	2.337	1.4	3251.04033333333
adeta	1	9	170	22	5	inf_T3	inf	T3	adv	104.876	1.95	3099.07125
adım	1	4	145	18	4	nar_T2	nar	T2	noun	356.58	1.45	1749.34333333333
adım	1	4	179	30	4	nar_T3	nar	T3	noun	356.58	1.45	1749.34333333333
adım	1	3	194	26	4	nar_T1	nar	T1	noun	356.58	1.45	1749.34333333333
ağır	1	9	170	22	4	inf_T3	inf	T3	adj	329.682	1.15	1345.625
ağız	1	15	145	18	4	inf_T2	inf	T2	noun	151.337	1.55	909.519333333333
ağız	1	17	170	22	4	inf_T3	inf	T3	noun	151.337	1.55	909.519333333333
ağız	1	19	170	23	4	inf_T1	inf	T1	noun	151.337	1.55	909.519333333333
ah	1	21	194	26	2	nar_T1	nar	T1	noun	41.319	1	224.524
ah	1	12	145	18	2	nar_T2	nar	T2	noun	41.319	1	224.524
ah	1	25	179	30	2	nar_T3	nar	T3	noun	41.319	1	224.524
ak	1	12	145	18	2	nar_T2	nar	T2	verb	124.583	1	2417.981
akıl	1	3	170	23	4	inf_T1	inf	T1	noun	400.272	1.2	1264.445
akıl	1	12	194	26	4	nar_T1	nar	T1	noun	400.272	1.2	1264.445
akıl	1	2	145	18	4	inf_T2	inf	T2	noun	400.272	1.2	1264.445
akıl	1	14	179	30	4	nar_T3	nar	T3	noun	400.272	1.2	1264.445
al	1	10	194	26	2	nar_T1	nar	T1	verb	4952.412	1	11977.86
al	1	12	179	30	2	nar_T3	nar	T3	verb	4952.412	1	11977.86
algı	1	22	194	26	4	nar_T1	nar	T1	noun	12.63	1.55	4982.98433333333
algıla	1	6	170	22	6	inf_T3	inf	T3	verb	112.399	1.9	4880.1796
alkışla	1	17	145	18	7	nar_T2	nar	T2	verb	31.344	2.55	5759.569
alt	1	15	145	18	3	inf_T2	inf	T2	noun	1147.076	1.05	7040.939
alt	1	15	170	22	3	inf_T3	inf	T3	noun	1147.076	1.05	7040.939
alt	1	19	170	23	3	inf_T1	inf	T1	noun	1147.076	1.05	7040.939
alt	1	18	170	23	3	inf_T1	inf	T1	noun	1147.076	1.05	7040.939
ama	1	20	170	23	3	inf_T1	inf	T1	conj	2883.072	1	4628.7445
ama	1	13	194	26	3	nar_T1	nar	T1	conj	2883.072	1	4628.7445
ama	1	10	145	18	3	nar_T2	nar	T2	conj	2883.072	1	4628.7445
ama	1	14	194	26	3	nar_T1	nar	T1	conj	2883.072	1	4628.7445
ama	1	6	145	18	3	inf_T2	inf	T2	conj	2883.072	1	4628.7445
amaç	1	7	170	22	4	inf_T3	inf	T3	noun	728.887	1.5	3721.39333333333
an	1	7	170	23	2	inf_T1	inf	T1	noun	989.935	1	8505.525
an	1	7	170	23	2	inf_T1	inf	T1	verb	128.664	1	8505.525
an	1	7	170	23	2	inf_T1	inf	T1	noun	0.454	1	8505.525
an	1	11	145	18	2	inf_T2	inf	T2	noun	989.935	1	8505.525
an	1	11	145	18	2	inf_T2	inf	T2	verb	128.664	1	8505.525
an	1	11	145	18	2	inf_T2	inf	T2	noun	0.454	1	8505.525
ana	1	21	170	23	3	inf_T1	inf	T1	noun	275.67	1	5350.2365
ana	1	20	170	22	3	inf_T3	inf	T3	noun	275.67	1	5350.2365
ancak	1	4	170	23	5	inf_T1	inf	T1	conj	1389.257	1.85	5803.2325
ancak	1	10	170	22	5	inf_T3	inf	T3	conj	1389.257	1.85	5803.2325
ancak	1	3	145	18	5	inf_T2	inf	T2	conj	1389.257	1.85	5803.2325
ani	1	23	194	26	3	nar_T1	nar	T1	adj	38.28	1	4799.308
anne	1	14	194	26	4	nar_T1	nar	T1	noun	448.292	1.9	6805.88233333333
anne	1	10	145	18	4	nar_T2	nar	T2	noun	448.292	1.9	6805.88233333333
anne	1	9	145	18	4	nar_T2	nar	T2	noun	448.292	1.9	6805.88233333333
anne	1	14	145	18	4	nar_T2	nar	T2	noun	448.292	1.9	6805.88233333333
anne	1	19	179	30	4	nar_T3	nar	T3	noun	448.292	1.9	6805.88233333333
anne	1	15	179	30	4	nar_T3	nar	T3	noun	448.292	1.9	6805.88233333333
anne	1	20	179	30	4	nar_T3	nar	T3	noun	448.292	1.9	6805.88233333333
anne	1	2	194	26	4	nar_T1	nar	T1	noun	448.292	1.9	6805.88233333333
anne	1	18	179	30	4	nar_T3	nar	T3	noun	448.292	1.9	6805.88233333333
anne	1	13	145	18	4	nar_T2	nar	T2	noun	448.292	1.9	6805.88233333333
anne	1	15	194	26	4	nar_T1	nar	T1	noun	448.292	1.9	6805.88233333333
anne	1	10	194	26	4	nar_T1	nar	T1	noun	448.292	1.9	6805.88233333333
anne	1	3	179	30	4	nar_T3	nar	T3	noun	448.292	1.9	6805.88233333333
anne	1	16	145	18	4	nar_T2	nar	T2	noun	448.292	1.9	6805.88233333333
anne	1	12	179	30	4	nar_T3	nar	T3	noun	448.292	1.9	6805.88233333333
anne	1	2	145	18	4	nar_T2	nar	T2	noun	448.292	1.9	6805.88233333333
anne	1	24	194	26	4	nar_T1	nar	T1	noun	448.292	1.9	6805.88233333333
anne	1	28	179	30	4	nar_T3	nar	T3	noun	448.292	1.9	6805.88233333333
ara	1	22	170	23	3	inf_T1	inf	T1	noun	2942.439	1	8974.4075
ara	1	7	145	18	3	inf_T2	inf	T2	noun	2942.439	1	8974.4075
aracılık	1	14	170	22	8	inf_T3	inf	T3	noun	104.016	1.95	3788.19814285715
arka	1	24	194	26	4	nar_T1	nar	T1	noun	367.475	1.2	6629.12966666667
arkadaş	1	4	194	26	7	nar_T1	nar	T1	noun	742.276	2.85	3951.13183333333
arkadaş	1	5	194	26	7	nar_T1	nar	T1	noun	742.276	2.85	3951.13183333333
arkadaş	1	5	179	30	7	nar_T3	nar	T3	noun	742.276	2.85	3951.13183333333
