word	n	LineNum	WordCount	SentCount	WordLength	TextType	TextTypeN	Text	syllble	morphology	OLD20	Bigram.Mean
acaba	1	16	200	26	5	nar_T1	nar	T1	3	1	1.9	1209.95275
acaba	1	21	183	30	5	nar_T3	nar	T3	3	1	1.9	1209.95275
açarlar	1	15	172	22	7	inf_T3	inf	T3	3	3	2.65	2816.45683333333
açarlar	1	18	176	23	7	inf_T1	inf	T1	3	3	2.65	2816.45683333333
açarlar	1	18	148	18	7	inf_T2	inf	T2	3	3	2.65	2816.45683333333
açıdan	1	20	172	22	6	inf_T3	inf	T3	3	2	2.3	4099.222
açıldı	1	27	183	30	6	nar_T3	nar	T3	3	3	2.05	1958.4296
açıldı	1	23	200	26	6	nar_T1	nar	T1	3	3	2.05	1958.4296
açılıverdi	1	13	149	18	10	nar_T2	nar	T2	5	4	5.55	1590.91977777778
adeta	1	9	172	22	5	inf_T3	inf	T3	3	1	1.95	3099.07125
adımlarını	1	4	149	18	10	nar_T2	nar	T2	5	4	4.75	1557.92211111111
adımlarını	1	3	200	26	10	nar_T1	nar	T1	5	4	4.75	1557.92211111111
adımlarını	1	4	183	30	10	nar_T3	nar	T3	5	4	4.75	1557.92211111111
ağır	1	9	172	22	4	inf_T3	inf	T3	2	1	1.15	1345.625
ağızları	1	15	148	18	8	inf_T2	inf	T2	4	3	3.3	1595.45242857143
ağızları	1	19	176	23	8	inf_T1	inf	T1	4	3	3.3	1595.45242857143
ağızları	1	17	172	22	8	inf_T3	inf	T3	4	3	3.3	1595.45242857143
ah	1	21	200	26	2	nar_T1	nar	T1	1	1	1	224.524
ah	1	12	149	18	2	nar_T2	nar	T2	1	1	1	224.524
ah	1	25	183	30	2	nar_T3	nar	T3	1	1	1	224.524
akıl	1	12	200	26	4	nar_T1	nar	T1	2	1	1.2	1264.445
akıl	1	14	183	30	4	nar_T3	nar	T3	2	1	1.2	1264.445
akıp	1	12	149	18	4	nar_T2	nar	T2	2	2	1.6	1043.94266666667
akla	1	3	176	23	4	inf_T1	inf	T1	2	2	1	4200.99933333333
akla	1	2	148	18	4	inf_T2	inf	T2	2	2	1	4200.99933333333
algılayıp	1	6	172	22	9	inf_T3	inf	T3	4	2	4.05	3053.90175
algısıyla	1	22	200	26	9	nar_T1	nar	T1	4	3	4.05	1956.353375
alkışladılar	1	17	149	18	12	nar_T2	nar	T2	5	4	5.9	3172.969
almadan	1	12	183	30	7	nar_T3	nar	T3	3	2	2.75	3835.40766666667
almadan	1	10	200	26	7	nar_T1	nar	T1	3	2	2.75	3835.40766666667
alt	1	15	148	18	3	inf_T2	inf	T2	1	1	1.05	7040.939
alt	1	19	176	23	3	inf_T1	inf	T1	1	1	1.05	7040.939
alt	1	15	172	22	3	inf_T3	inf	T3	1	1	1.05	7040.939
