TextType	N	M	SD	SE	CI	CI_min	CI_max	olcumturu
1	inf_T1	186	2.74112903225806	1.48736636992901	0.109058993564936	0.21515921076827	2.52737340487079	2.95488465964534	OLD20
2	inf_T2	160	2.6871875	1.51671242112545	0.119906645155623	0.236815170068008	2.45217047549498	2.92220452450502	OLD20
3	inf_T3	176	2.95170454545455	1.53967434151579	0.116057320230577	0.229052173508097	2.72423219780261	3.17917689310648	OLD20
4	nar_T1	211	2.96113744075829	1.59522550579955	0.109819852795502	0.216490598606106	2.74589052927911	3.17638435223748	OLD20
5	nar_T2	155	2.92903225806452	1.69498755854667	0.136144676927394	0.268952183462238	2.66218869128682	3.19587582484221	OLD20
6	nar_T3	194	3.04536082474227	1.57491808281463	0.113072528671137	0.223016529960407	2.82373866854684	3.2669829809377	OLD20
7	inf_T1	186	8039.6327793675	7908.92440155206	579.910473204796	1144.08794407868	6903.0082518861	9176.2573068489	Bigram.Mean
8	inf_T2	160	8538.35547521623	8077.70699410962	638.598809321468	1261.23022988772	7286.70180894615	9790.0091414863	Bigram.Mean
9	inf_T3	176	7349.17209322018	7159.69544390948	539.682350015109	1065.12381148665	6291.39468719057	8406.94949924979	Bigram.Mean
10	nar_T1	211	7311.67366730305	7740.51368618114	532.878938110959	1050.47746249531	6267.23094860557	8356.11638600053	Bigram.Mean
11	nar_T2	155	8630.82228442215	9376.75839880585	753.15935883697	1487.85731932986	7154.62994110169	10107.0146277426	Bigram.Mean
12	nar_T3	194	6976.98654078319	7365.02580125996	528.778036244473	1042.92567035005	5940.58158974402	8013.39149182235	Bigram.Mean
13	inf_T1	186	6.68817204301075	2.90192292118717	0.212779312203218	0.419785910221154	6.27112459109245	7.10521949492906	WordLength
14	inf_T2	160	6.6	3.01609935942302	0.238443590628789	0.470925188450536	6.13265056236757	7.06734943763243	WordLength
15	inf_T3	176	7.11363636363636	3.06661961191078	0.23115515062394	0.45621068591635	6.66057226841344	7.56670045885929	WordLength
16	nar_T1	211	6.83886255924171	3.05389784265961	0.210238997755545	0.414449348782135	6.42679412364084	7.25093099484257	WordLength
17	nar_T2	155	6.69032258064516	3.274394445722	0.26300569092549	0.519564601670976	6.1748314264312	7.20581373485912	WordLength
18	nar_T3	194	6.95360824742268	3.04762072680302	0.218806416518075	0.431558826165958	6.52474767104725	7.38246882379811	WordLength
19	inf_T1	186	2.83333333333333	1.25166555703457	0.0917765714553576	0.181063239590552	2.65345125328083	3.01321541338583	syllble
20	inf_T2	160	2.7625	1.25636743013215	0.0993245664317511	0.19616564253748	2.56782384979377	2.95717615020623	syllble
21	inf_T3	176	3.03409090909091	1.28684654328868	0.0969997078830544	0.191439832283931	2.84397148164012	3.2242103365417	syllble
22	nar_T1	211	2.96208530805687	1.29043492569358	0.0888372039355109	0.175126982680487	2.78796438834327	3.13620622777047	syllble
23	nar_T2	155	2.88387096774194	1.34335709881285	0.107901038738486	0.21315721349896	2.6723849318145	3.09535700366937	syllble
24	nar_T3	194	3.01030927835052	1.29162182951645	0.0927330430350102	0.182900318170881	2.8285525140019	3.19206604269914	syllble
25	inf_T1	186	2.02688172043011	1.06254562101828	0.0779096249504518	0.153705557585309	1.87417885552722	2.17958458533299	morphology
26	inf_T2	160	1.96875	1.0898149112948	0.0861574336926486	0.170160605244746	1.79988142996241	2.13761857003759	morphology
27	inf_T3	176	2.07386363636364	1.09554884543195	0.0825801013592008	0.162981117151975	1.9120066376996	2.23572063502767	morphology
28	nar_T1	211	2.14691943127962	1.09206117400239	0.0751805916697121	0.148205364329206	1.99956547160699	2.29427339095226	morphology
29	nar_T2	155	2.08387096774194	1.04418512757325	0.0838709677419355	0.165686095206751	1.91948387096774	2.24825806451613	morphology
30	nar_T3	194	2.20725388601036	1.06484996145678	0.076451771753168	0.15078825109948	2.05740841337415	2.35709935864657	morphology
