word	Part.of.Speech	Freq.Norm
aa	noun	63.372
ab	noun	934.372
aba	noun	3.741
abaca	noun	0.046
abacı	noun	1.801
abaç	noun	0.83
abadi	noun	0.084
abajur	noun	0.86
abajurcu	noun	0.005
abaküs	noun	0.19
abalı	adj	0.441
aban	verb	1.499
abana	noun	0.688
abandone	adj	0.248
abani	adj	0.011
abanoz	noun	2.305
abanozgiller	noun	0.005
abant	noun	7.458
abart	verb	33.393
abartı	noun	23.908
abartıcı	noun	0.005
abartılı	adj	0.014
abartış	noun	0.003
abartma	noun	0.775
abartmacı	noun	0.008
abasıyanık	noun	0.993
abasız	adj	0.005
abat	adj	0.177
abay	noun	10.674
abayhan	noun	0.019
abaza	noun	0.843
abazaca	adj	0.005
abazan	adj	0.256
abazanlık	noun	0.005
abbas	noun	22.646
abbasi	noun	1.834
abbasoğlu	noun	1.178
abd	noun	958.678
abdal	noun	3.004
abdallık	noun	0.003
abdest	noun	4.77
abdesthane	noun	0.049
abdestli	adj	0.024
abdestsiz	noun	0.003
abdi	noun	18.333
abdullah	noun	148.176
abdurrahim	noun	3.374
abdurrahman	noun	13.485
abdülalim	noun	0.019
abdülazim	noun	0.052
abdülaziz	noun	6.269
abdülbaki	noun	0.732
abdülbari	noun	0.335
abdülbasir	noun	0.016
abdülbasit	noun	0.049
abdülcabbar	noun	0.095
abdülcebbar	noun	0.087
abdülcelil	noun	0.109
abdülcemal	noun	0.011
abdülcevat	noun	0.014
abdülezel	noun	0.041
abdülferit	noun	0.003
abdülfettah	noun	0.117
abdülgaffar	noun	0.049
abdülgaffur	noun	0.016
abdülgafur	noun	0.024
abdülgani	noun	0.422
abdülhadi	noun	0.103
abdülhak	noun	1.393
abdülhakim	noun	0.177
abdülhalik	noun	0.239
abdülhalim	noun	0.503
abdülhamit	noun	5.921
abdülkadir	noun	22.112
abdülkahhar	noun	0.003
abdülkerim	noun	1.276
abdüllatif	noun	17.098
abdülmecit	noun	1.736
abdülmelik	noun	0.441
abdülmennan	noun	0.016
abdülmetin	noun	0.019
abdülnasır	noun	0.122
abdülvahap	noun	0.256
abdülvahit	noun	0.103
abdürrahim	noun	2.024
abdürrahman	noun	0.215
abdürrauf	noun	0.068
abdürreşit	noun	0.005
abdürrezzak	noun	0.275
abdüssamet	noun	0.014
abdüsselam	noun	0.675
abdüssemi	noun	0.016
abdüssettar	noun	0.163
abece	noun	0.479
abecesel	adj	0.016
aberasyon	noun	0.027
abes	adj	3.891
abeslik	noun	0.003
abhaz	noun	1.434
abhazya	noun	2.732
abher	noun	0.011
abıhayat	noun	0.019
abır	noun	0.008
abi	noun	92.115
abid	noun	0.56
abide	noun	3.241
abidevi	adj	0.103
abidin	noun	8.266
abil	noun	0.052
abir	noun	0.152
abis	noun	0.468
abit	noun	0.411
abiye	noun	1.564
abla	noun	50.6
ablacı	noun	4.998
ablak	adj	0.057
ablalık	noun	0.008
ablatif	noun	0.005
abli	noun	0.008
abluka	noun	5.738
abone	noun	49.852
abonelik	noun	0.615
abonman	noun	0.58
aborda	noun	0.024
aborjin	noun	0.618
abra	verb	0.25
abrakadabra	noun	0.073
abraş	noun	0.014
abril	noun	0.054
abs	noun	3.54
absorbe	noun	0.999
abstre	adj	0.035
absürt	adj	0.55
abu	ınterj	3.676
abuk	adj	2.775
abuli	noun	0.005
abus	adj	0.09
abuşka	noun	0.011
abuzer	noun	1.733
abuzettin	noun	0.022
ac	noun	16.129
aca	noun	0.713
acaba	adv	170.737
acabay	noun	0.027
acabey	noun	0.014
acahan	noun	0.011
acar	noun	24.433
acara	noun	0.441
acaralp	noun	0.079
acarbey	noun	0.024
acarer	noun	2.215
acarkan	noun	0.046
acarlık	noun	0.005
acarman	noun	0.014
