word	syllble	morphology
deniz	2	1
yıldızları	4	3
ve	1	1
bu	1	1
hem	1	1
ile	2	1
kollu	2	2
vardır	2	2
ayrıca	3	1
canlılar	3	2
da	1	1
hareket	3	1
kendilerini	5	4
olan	2	2
yandan	2	2
adeta	3	1
algılayıp	4	2
alt	1	1
amacıyla	4	2
anaları	4	3
ancak	2	1
aracılığıyla	6	2
avlanırlar	4	4
ayaklarının	5	4
aylak	2	1
açarlar	3	3
açıdan	3	2
ağır	2	1
ağızları	4	3
aşağı	3	1
bazı	2	1
bazıları	4	3
beslenirler	4	4
beyin	2	1
beş	1	1
bile	2	1
bir	1	1
birkaç	2	1
bulunmaktadır	5	4
bunların	3	3
bölgededir	4	3
bölgelerde	4	3
bölümleri	4	3
bölümlerini	5	4
bölünmesi	4	4
canlı	2	1
canlılardır	4	3
canlılarıdır	5	4
de	1	1
denizlerde	4	3
derinliğe	4	2
değildir	3	2
değillerdir	4	3
diğer	2	1
düşmanlara	4	3
edebilir	4	3
eden	2	2
formlarına	4	4
geliştirebilirler	7	5
gibi	2	1
gibidir	3	2
gibidirler	4	3
griye	3	2
hayvan	2	1
hayvanlarını	5	4
herbivor	3	1
hücre	2	1
ise	2	1
istiridye	4	1
içlerini	4	4
kabukluları	5	4
kadar	2	1
kalabilen	4	3
kalpleri	3	3
karnivorlardır	5	3
karşı	2	1
karşımıza	4	3
kavuşurlar	4	3
kilometre	4	1
kimi	2	2
kokulu	3	2
kolları	3	3
kopan	2	2
koparırlar	4	4
korumak	3	2
kötü	2	1
kırk	1	1
kısa	2	1
maviden	3	2
midye	2	1
mitoz	2	1
olanlar	3	3
olmayan	3	3
oluşturan	4	3
omurgasız	4	2
on	1	1
onarabilirler	6	4
onlarca	3	3
otobur	3	1
parçaların	4	3
parçalarıyla	5	4
pembeden	3	2
rejenerasyon	5	1
renklerde	3	3
salgıları	4	3
savunabilirler	6	4
sayesinde	4	3
sert	1	1
sinir	2	1
sistemleri	4	3
sonra	2	1
soğuk	2	1
sıcak	2	1
tarafındaki	5	4
tehlikeyi	4	2
tropikal	4	1
turuncuya	4	2
türleri	3	3
türüdür	3	2
uzuvlar	3	2
vücut	2	1
vücutlarının	5	4
yakalarlar	4	3
yapışkan	3	1
yavrular	3	2
yaşarlar	3	3
yaşayabilen	5	3
yaşayabilirler	6	4
yedi	2	1
yengeç	2	1
yeni	2	1
yerine	3	3
yetenekleri	5	3
yiyerek	3	2
yumuşak	3	1
yıl	1	1
zaman	2	1
zamanda	3	2
çabuk	2	1
çekmenler	3	1
çeşitli	3	1
çoğalan	3	2
çıkabilirler	5	4
önceki	3	2
öte	2	1
