word	syllble	morphology
bir	1	1
annesinin	4	3
daha	2	1
eve	2	2
ve	1	1
çok	1	1
önce	2	1
ama	2	1
annesi	3	2
da	1	1
de	1	1
etti	2	2
evde	2	2
kardeşini	4	3
kardeşinin	4	3
not	1	1
ona	2	2
zaman	2	1
üzerinde	4	2
şimdi	2	1
acaba	3	1
adımlarını	5	4
ah	1	1
akıl	2	1
algısıyla	4	3
almadan	3	2
aniden	3	2
arkadaşı	4	2
arkadaşının	5	3
arkasında	4	3
ateşliyken	4	2
aylardır	3	3
aynı	2	1
açıldı	3	3
babaannesini	5	3
başka	2	1
başladı	3	2
beklemekten	4	3
bekleyememiş	5	4
belki	2	1
beşik	2	1
biliyordu	4	3
bilmiyorken	4	4
biraz	2	1
boştu	2	2
bu	1	1
bugün	2	1
bulamadı	4	4
bunu	2	2
bunun	2	2
buzdolabına	5	3
buzdolabının	5	3
dolayı	3	1
doldu	2	2
düşünceler	4	2
düşündü	3	2
etmeye	3	3
ev	1	1
evleri	3	3
farklı	2	1
geldi	2	2
geldiğinde	4	4
gelmediğini	5	5
getirmişti	4	3
geçirdiği	4	4
geçmek	2	2
gibi	2	1
gidiyordu	4	3
gitmeyeceğini	6	5
gitmişlerdi	4	4
gururla	3	2
gördü	2	2
görmediği	4	4
görmemişti	4	4
götürürken	4	3
gözleri	3	3
gözüne	3	3
gülümseyen	4	2
haber	2	1
haline	3	3
hastalanmış	4	2
hatta	2	1
havale	3	1
hayal	2	1
hazırlanmasını	6	5
her	1	1
herhangi	3	1
heyecandan	4	2
heyecanlanarak	6	2
hiç	1	1
hızla	2	1
hızlandırdı	4	3
ile	2	1
ilgili	3	1
için	2	1
kadar	2	1
kalbi	2	2
kalmamıştı	4	4
kapı	2	1
kapısında	4	3
kapıyı	3	2
kardeşi	3	2
karşısında	4	3
kaygısından	4	3
kazandığı	4	3
kendisine	4	3
kendisini	4	3
kerem	2	1
ki	1	1
kimse	2	1
komşuların	4	3
komşularına	5	4
kontrol	2	1
koyulmuştu	4	4
koştu	2	2
kısa	2	1
mahallede	4	2
meraklandı	4	2
miydi	2	2
mutluluk	3	1
mutluluktan	4	2
okuldan	3	2
okulları	4	3
olabileceğini	7	5
olabilir	4	3
olarak	3	2
olduğu	3	3
onlara	3	3
oyun	2	1
sabırsızlıkla	5	2
sahne	2	1
sanki	2	1
sarılışını	5	3
sessizdi	3	2
seviyordu	4	3
sordu	2	2
süreliğine	5	3
sürpriz	2	1
sımsıkı	3	1
tedirgin	3	1
tepkiyi	3	2
terliklerini	5	4
umutla	3	2
uzun	2	1
vakit	2	1
vereceği	4	3
vermemişti	4	4
yapmışlardı	4	4
yarışmasında	5	3
yavaşlamıştı	5	3
yere	2	2
yine	2	1
yoktu	2	2
yol	1	1
yola	2	2
yolun	2	2
yürüyerek	4	2
yüzlerini	4	4
zamankinden	4	3
çalarak	3	2
çalıştı	3	2
çaresi	3	2
çarpıyordu	4	3
çeşitli	3	1
çoğu	2	2
çığlığını	4	3
ödülü	3	2
üretmeye	4	3
şaşkınlık	3	1
şekilde	3	2
şiir	1	1
