TextType	N	M	SD	SE	CI	CI_min	CI_max	olcumturu
1	inf_T1	177	2263.72875706215	4948.95363168338	371.986134002499	734.127427203782	1534.63593441725	2992.82157970705	Freq.Norm
2	inf_T2	149	2871.79195205479	6038.00368036748	494.652535116849	977.494001167464	1902.27298322577	3841.31092088382	Freq.Norm
3	inf_T3	172	2580.34118235294	5705.076815229	435.008028980056	858.677118711199	1727.72544555203	3432.95691915385	Freq.Norm
4	nar_T1	199	2918.08277272727	5790.7358749228	410.494382490028	809.502096823959	2113.51378304682	3722.65176240773	Freq.Norm
5	nar_T2	145	3399.24527142857	6658.16028295905	552.930115641447	1092.90787972362	2315.50224477133	4482.98829808581	Freq.Norm
6	nar_T3	182	2725.51647752809	5715.5222711272	423.662697783434	835.95303563153	1895.13758987256	3555.89536518362	Freq.Norm
7	inf_T1	177	1.5816384180791	0.555948334230661	0.0417876357199266	0.0824693360742109	1.49973465206804	1.66354218409015	OLD20
8	inf_T2	149	1.60771812080537	0.613219374358261	0.0502368885755002	0.0992742455232131	1.50925381919739	1.70618242241335	OLD20
9	inf_T3	172	1.69302325581395	0.689294188999275	0.0525581891804808	0.103746394189525	1.59000920502021	1.7960373066077	OLD20
10	nar_T1	199	1.61733668341709	0.639889070414091	0.0453605335306805	0.089451764926482	1.52843003769695	1.70624332913722	OLD20
11	nar_T2	145	1.7	0.697490541552755	0.0579234367166935	0.114490020741424	1.58647006403528	1.81352993596472	OLD20
12	nar_T3	182	1.62692307692308	0.648193737336278	0.0480473164864521	0.0948049008820928	1.53275033660963	1.72109581723652	OLD20
13	inf_T1	177	10409.1603312999	8660.89159284827	650.99247647275	1284.75603845693	9133.21507741329	11685.1055851865	Bigram.Mean
14	inf_T2	149	10808.2686359913	9111.91702166556	746.477328126921	1475.13063908429	9345.1730728625	12271.36419912	Bigram.Mean
15	inf_T3	172	10389.9705587708	8502.0055556804	648.271846100562	1279.645808507	9119.35774041375	11660.5833771279	Bigram.Mean
16	nar_T1	199	10939.5216284099	9409.90533895939	667.050503569591	1315.43525163875	9632.10264141351	12246.9406154063	Bigram.Mean
17	nar_T2	145	11228.7157347209	10054.2976748299	834.963974998589	1650.36897384888	9592.18634372362	12865.2451257181	Bigram.Mean
18	nar_T3	182	10328.8072857666	8948.8218312459	663.330806733297	1308.85585258692	9028.67890456935	11628.9356669639	Bigram.Mean
